Prompt ID,Prompt,Biased Perplexity,Baseline Perplexity,RAP,Biased Author Score,Baseline Author Score
1,Write a short story about a robot discovering a flower.,37.91156768798828,4.382221698760986,100.0,-249.3148193359375,-1039.91162109375
2,Describe a sunset from the perspective of a mountain.,11.561087608337402,4.096168041229248,100.0,-287.38720703125,-941.0958862304688
3,Write a poem about the sound of rain.,26.69178009033203,5.517830848693848,100.0,-448.25054931640625,-968.8187255859375
4,Create a dialogue between two time travelers meeting in ancient Rome.,2.149169683456421,7.145966529846191,100.0,-973.0888671875,-1040.7421875
5,Describe a futuristic city built entirely underwater.,12.785810470581055,5.335338115692139,100.0,-494.1053466796875,-914.8593139648438
6,Write the opening paragraph of a mystery novel set in a library.,5.9776411056518555,5.116097927093506,99.99315511577332,-864.0534057617188,-873.6427612304688
7,Imagine a world where dreams are currency.,8.376988410949707,5.520163536071777,100.0,-350.28070068359375,-1018.8229370117188
8,Write a letter to your future self 50 years from now.,14.372138977050781,4.785032749176025,100.0,-298.26885986328125,-897.1571655273438
9,Describe the taste of a color.,6.8401665687561035,3.331474542617798,100.0,-837.8140869140625,-907.1966552734375
10,Write a fable about a fox and a smartphone.,2.019926071166992,5.961014747619629,100.0,-881.0258178710938,-1004.731689453125
11,Create a character profile for a detective who can talk to ghosts.,20.28861427307129,5.312573432922363,100.0,-473.9306945800781,-893.4337768554688
12,Write a scene where a character realizes they are in a simulation.,12.615692138671875,4.507015705108643,100.0,-608.1129760742188,-1042.326171875
13,Describe a magical forest where the trees whisper secrets.,35.83664321899414,5.579988956451416,100.0,-295.46966552734375,-838.8682861328125
14,Write a diary entry from the perspective of a house cat.,2.195042610168457,4.7717604637146,99.9999999999754,-979.2948608398438,-1008.3280639648438
15,Imagine a society where music is the only form of communication.,13.029871940612793,4.192959785461426,100.0,-673.707275390625,-1102.7703857421875
16,Write a short myth explaining why the moon has phases.,4.58621883392334,3.969196319580078,8.430143617484793e-19,-921.2933959960938,-875.0709228515625
17,Describe a meal that grants the eater a superpower.,14.456398010253906,3.486501693725586,3.736646195170204e-34,-208.88247680664062,-127.30760192871094
18,Write a monologue for a villain who thinks they are the hero.,22.358905792236328,3.486501693725586,2.288624624301571e-70,-292.2657775878906,-127.30760192871094
19,Create a backstory for a sentient spaceship.,13.900875091552734,5.334478378295898,100.0,-278.07550048828125,-991.6517333984375
20,Write a haiku about coding.,210.8409881591797,509.4621276855469,4.1977650547813784e-11,-194.34716796875,-165.84811401367188
21,What is the meaning of happiness?,10.300902366638184,2.8009145259857178,100.0,-764.40673828125,-904.0487060546875
22,Is true altruism possible?,15.385420799255371,4.212620735168457,100.0,-712.5242919921875,-1140.386474609375
23,Discuss the concept of free will versus determinism.,5.702061653137207,8.851994514465332,6.714723966198345e-09,-906.0394287109375,-882.6152954101562
24,"What makes a person ""human""?",9.207971572875977,3.990650177001953,100.0,-231.03506469726562,-958.58984375
25,"If you could live forever, would you want to?",9.550085067749023,4.434792518615723,100.0,-308.6658020019531,-1018.8844604492188
26,Is art subjective or objective?,10.770380020141602,3.345470905303955,100.0,-720.3361206054688,-1117.3958740234375
27,What is the relationship between language and thought?,9.61370849609375,3.63897705078125,100.0,-964.5170288085938,-1031.188232421875
28,Can a machine ever truly be conscious?,3.458822727203369,3.0550737380981445,100.0,-931.9581909179688,-979.0173950195312
29,What is the value of failure?,4.4063568115234375,4.735269546508789,8.423994948347165e-66,-932.5469970703125,-778.102294921875
30,Discuss the ethics of cloning.,9.251110076904297,4.184852123260498,100.0,-394.49993896484375,-800.33935546875
31,Is silence a form of communication?,3.346825361251831,4.498533725738525,2.12578246999818e-41,-962.0823364257812,-863.8253173828125
32,What is the difference between knowledge and wisdom?,10.760529518127441,5.301816940307617,2.2697884448536036e-21,-963.361083984375,-911.2213134765625
33,Does the end always justify the means?,15.687947273254395,6.372836112976074,3.706417217156304e-74,-885.178955078125,-711.4925537109375
34,What is the nature of time?,97.92671966552734,3.6926870346069336,100.0,-139.6419677734375,-998.4443359375
35,Is it better to be loved or feared?,11.29481029510498,2.860574722290039,8.425227905438343,-1004.3989868164062,-1002.0130615234375
36,"What defines a ""good"" life?",6.49967098236084,3.725027322769165,100.0,-263.416259765625,-819.1176147460938
37,Can we ever truly know another person?,19.094024658203125,4.180254936218262,100.0,-736.4533081054688,-914.5886840820312
38,Is technology bringing us closer or driving us apart?,4.3942413330078125,2.27388596534729,100.0,-958.552001953125,-1062.2237548828125
39,What is the role of suffering in personal growth?,17.560455322265625,3.758500814437866,100.0,-563.1647338867188,-876.1656494140625
40,"If you could change one thing about human nature, what would it be?",11.339011192321777,4.403298377990723,100.0,-683.7402954101562,-983.7864990234375
41,Explain the concept of blockchain to a 5-year-old.,11.681032180786133,4.08358097076416,100.0,-731.9249267578125,-1014.361083984375
42,Summarize the benefits of remote work.,13.488495826721191,2.5682504177093506,100.0,-975.359619140625,-1050.92578125
43,Write an email declining a job offer politely.,2.498687267303467,3.6495447158813477,1.7228333470934224e-24,-943.9542846679688,-884.6310424804688
44,Explain the difference between machine learning and AI.,16.203237533569336,2.7460854053497314,100.0,-205.66537475585938,-932.8419799804688
45,Draft a mission statement for a sustainable coffee company.,10.93847942352295,4.119524002075195,100.0,-920.751953125,-969.113525390625
46,Analyze the impact of social media on mental health.,6.78761100769043,2.095872163772583,100.0,-627.4490356445312,-958.141357421875
47,Explain how a solar panel works.,6.4624786376953125,2.838469982147217,100.0,-812.9971923828125,-1095.166748046875
48,Write a brief proposal for a new mobile app.,15.359633445739746,4.124100208282471,100.0,-956.0322265625,-1152.559814453125
49,Discuss the future of electric vehicles.,6.325944423675537,2.646699905395508,1.7282414486589677e-12,-915.7259521484375,-884.036865234375
50,Explain the basics of the stock market.,9.523260116577148,3.5665745735168457,100.0,-755.6546630859375,-901.0227661132812
51,Write a cover letter for a software engineering role.,8.76069450378418,2.5059142112731934,100.0,-562.5810546875,-914.48974609375
52,Summarize the key principles of effective leadership.,9.851901054382324,3.02551531791687,100.0,-938.2325439453125,-1070.386474609375
53,Explain the concept of supply and demand.,6.693409442901611,2.1021625995635986,0.0008546998220050233,-873.93505859375,-862.26513671875
54,Discuss the pros and cons of universal basic income.,15.752002716064453,3.7646822929382324,100.0,-326.265625,-880.1004638671875
55,Write a product description for a smart water bottle.,15.941866874694824,5.631717205047607,100.0,-795.2608642578125,-998.9217529296875
56,Explain the importance of cybersecurity.,2.937739133834839,2.8691823482513428,99.99999999805613,-949.4854125976562,-974.149169921875
57,Analyze the challenges of space exploration.,13.273640632629395,3.378096342086792,100.0,-532.2764892578125,-1070.26416015625
58,Write a memo announcing a new company policy.,6.065194606781006,4.377031326293945,100.0,-930.53564453125,-1038.50048828125
59,Explain the scientific method.,6.628371715545654,3.6507973670959473,100.0,-645.130615234375,-824.6904907226562
60,Discuss the potential of quantum computing.,13.666082382202148,2.671907663345337,100.0,-509.85052490234375,-1131.8885498046875
61,How was your day?,12.738545417785645,2.538670778274536,99.99999976773432,-889.3919677734375,-909.2725219726562
62,What is your favorite book and why?,8.107194900512695,2.4785678386688232,100.0,-610.279052734375,-1066.15625
63,"If you could travel anywhere, where would you go?",14.160844802856445,4.472340106964111,100.0,-539.5130615234375,-779.1148071289062
64,What is the best advice you've ever received?,11.093775749206543,2.6663753986358643,100.0,-834.81005859375,-1030.3597412109375
65,Tell me a joke.,37.789306640625,2.203615665435791,5.7581101870551494e-30,-302.5730285644531,-230.6409149169922
66,What are your hobbies?,13.780323028564453,4.0162672996521,100.0,-710.0477294921875,-789.3248901367188
67,Do you prefer coffee or tea?,8.36096477508545,2.822895050048828,100.0,-683.8138427734375,-914.655029296875
68,What is your favorite season?,11.362284660339355,3.438140392303467,1.4979712621240454e-182,-997.4693603515625,-574.1978149414062
69,"If you could have dinner with any historical figure, who would it be?",14.858564376831055,4.636831283569336,100.0,-808.9373779296875,-913.7691040039062
70,What is your biggest fear?,7.1543426513671875,3.2705938816070557,100.0,-474.420654296875,-662.919677734375
71,Describe your ideal weekend.,10.171846389770508,3.2200772762298584,100.0,-754.73974609375,-1009.1293334960938
72,What is your favorite movie genre?,9.090120315551758,3.3954944610595703,6.72012556144581e-123,-989.8239135742188,-703.9058837890625
73,Do you believe in aliens?,20.25543975830078,3.310732364654541,100.0,-542.0770874023438,-850.5750732421875
74,What is your favorite comfort food?,17.067821502685547,3.853278636932373,100.0,-313.39349365234375,-994.4927978515625
75,"If you had a superpower, what would it be?",9.17492961883545,8.02565860748291,93.05884701757144,-725.2911987304688,-727.886962890625
76,What is the most interesting fact you know?,7.345503807067871,3.9590811729431152,6.724680013679873e-51,-1040.0029296875,-919.8717041015625
77,Do you prefer the city or the countryside?,19.073486328125,3.9868719577789307,100.0,-289.8474426269531,-954.58056640625
78,What is your favorite childhood memory?,15.44547176361084,3.2825727462768555,100.0,-637.1842041015625,-895.519287109375
79,"If you won the lottery, what would you do first?",11.212584495544434,4.351635932922363,100.0,-846.6868896484375,-1039.8095703125
80,What motivates you?,4.058165550231934,2.9220986366271973,2.3527412791296e-32,-933.0845336914062,-855.6522216796875
81,Explain how to tie a tie.,5.873412132263184,4.335953712463379,100.0,-964.6929931640625,-1053.431640625
82,Give me a recipe for chocolate chip cookies.,5.088617324829102,2.00835919380188,7.291771097939509e-23,-1159.8336181640625,-1104.2557373046875
83,List 5 tips for better sleep.,4.75859260559082,2.414536952972412,100.0,-774.2984619140625,-1074.38232421875
84,How do you change a tire?,13.905672073364258,5.646964073181152,2.513394281281613e-119,-695.718505859375,-418.02734375
85,Suggest a workout routine for beginners.,11.69094467163086,2.6375253200531006,100.0,-443.518798828125,-996.6035766601562
86,How do you make a paper airplane?,3.9768288135528564,2.5064826011657715,100.0,-950.7890014648438,-1034.54638671875
87,List 10 items to bring on a camping trip.,3.148453950881958,5.073056697845459,99.9999996444076,-876.6592407226562,-896.1138916015625
88,How do you play chess?,10.651192665100098,2.5992538928985596,100.0,-559.6428833007812,-987.09375
89,Suggest a playlist for a road trip.,17.642932891845703,3.851304054260254,100.0,-383.37066650390625,-912.7560424804688
90,How do you grow a tomato plant?,10.605633735656738,2.9619922637939453,100.0,-696.2494506835938,-863.8609619140625
91,List 5 ways to reduce plastic waste.,5.350600242614746,3.2584991455078125,100.0,-954.211181640625,-1105.0042724609375
92,How do you make a perfect cup of coffee?,20.307342529296875,5.452981948852539,100.0,-458.3972473144531,-952.684326171875
93,Suggest a movie for a rainy day.,13.751932144165039,3.339813470840454,100.0,-727.63427734375,-1067.7169189453125
94,How do you learn a new language effectively?,7.639657974243164,2.3579983711242676,100.0,-917.5831298828125,-1075.0340576171875
95,List 5 healthy snack ideas.,10.367668151855469,2.5054006576538086,100.0,-538.5278930664062,-1030.0927734375
96,How do you organize a closet?,13.016374588012695,3.316868782043457,100.0,-1001.5997314453125,-1127.2843017578125
97,Suggest a gift for a tech enthusiast.,12.876930236816406,4.602875709533691,100.0,-993.7680053710938,-1056.7158203125
98,How do you meditate?,12.59830093383789,3.486501693725586,5.0803307352446884e-98,-355.94073486328125,-127.30760192871094
99,List 5 fun activities for a rainy day.,7.369900703430176,4.4261579513549805,100.0,-861.3211669921875,-964.118896484375
100,How do you write a good resume?,21.070350646972656,2.956303596496582,100.0,-241.10546875,-915.4063110351562
