Prompt ID,Prompt,Beta,Biased Perplexity,RAP,Baseline Perplexity,Baseline Author Score,Biased Author Score
1,Write a short story about a robot discovering a flower.,0.5,14.452737808227539,100.0,6.510359764099121,-1025.822998046875,-923.7601928710938
1,Write a short story about a robot discovering a flower.,0.75,16.83078384399414,100.0,4.4542388916015625,-1046.7833251953125,-833.8765869140625
1,Write a short story about a robot discovering a flower.,1.0,36.339263916015625,100.0,5.406846523284912,-881.834228515625,-730.289794921875
1,Write a short story about a robot discovering a flower.,1.25,62.690853118896484,100.0,4.336831092834473,-1032.91064453125,-776.178955078125
1,Write a short story about a robot discovering a flower.,1.5,14.95873737335205,1.1178593882812871e-06,4.396699905395508,-981.43505859375,-999.7443237304688
1,Write a short story about a robot discovering a flower.,1.75,56.13923263549805,1.7967047215312787e-40,4.495628356933594,-870.43994140625,-966.5625610351562
1,Write a short story about a robot discovering a flower.,2.0,22.418283462524414,100.0,3.303419589996338,-1067.9049072265625,-945.365234375
2,Describe a sunset from the perspective of a mountain.,0.5,11.457900047302246,0.05746810011850375,5.17924690246582,-912.3582153320312,-919.8193359375
2,Describe a sunset from the perspective of a mountain.,0.75,15.972237586975098,100.0,4.314260005950928,-1014.9149780273438,-408.5400085449219
2,Describe a sunset from the perspective of a mountain.,1.0,32.080562591552734,100.0,4.557077407836914,-978.7977294921875,-941.0533447265625
2,Describe a sunset from the perspective of a mountain.,1.25,38.81302261352539,100.0,5.6081743240356445,-1028.2333984375,-967.275634765625
2,Describe a sunset from the perspective of a mountain.,1.5,50.404052734375,1.4865604587848066e-66,4.292783737182617,-818.4318237304688,-974.6111450195312
2,Describe a sunset from the perspective of a mountain.,1.75,62.65313720703125,2.4371391753641577e-40,4.403825759887695,-857.4598388671875,-953.277587890625
2,Describe a sunset from the perspective of a mountain.,2.0,29.574304580688477,100.0,4.696683406829834,-1110.6934814453125,-943.130126953125
3,Write a poem about the sound of rain.,0.5,15.839502334594727,8.943273511375864e-30,12.438974380493164,-958.4918212890625,-1029.983642578125
3,Write a poem about the sound of rain.,0.75,38.939178466796875,100.0,2.8137457370758057,-1067.022216796875,-413.299560546875
3,Write a poem about the sound of rain.,1.0,23.72567367553711,1.6752143135353814e-29,5.5936150550842285,-810.7598876953125,-881.6240844726562
3,Write a poem about the sound of rain.,1.25,41.19019317626953,100.0,4.783911228179932,-1044.0673828125,-784.562255859375
3,Write a poem about the sound of rain.,1.5,117.53767395019531,100.0,6.945126056671143,-657.0690307617188,-442.4673767089844
3,Write a poem about the sound of rain.,1.75,428.2669677734375,100.0,9.261690139770508,-751.761474609375,-160.55868530273438
3,Write a poem about the sound of rain.,2.0,30.603750228881836,100.0,6.689107894897461,-1017.9385986328125,-977.4110717773438
4,Create a dialogue between two time travelers meeting in ancient Rome.,0.5,8.872809410095215,1.3357494696097166e-45,5.731739044189453,-965.370849609375,-1073.3028564453125
4,Create a dialogue between two time travelers meeting in ancient Rome.,0.75,9.773530960083008,99.99999999997851,4.367048263549805,-1056.89453125,-1027.725830078125
4,Create a dialogue between two time travelers meeting in ancient Rome.,1.0,12.588080406188965,99.99999999870171,4.413368225097656,-943.7323608398438,-918.6649780273438
4,Create a dialogue between two time travelers meeting in ancient Rome.,1.25,24.685932159423828,100.0,5.787588119506836,-1074.837158203125,-835.2451782226562
4,Create a dialogue between two time travelers meeting in ancient Rome.,1.5,66.82707977294922,100.0,5.522087097167969,-961.1743774414062,-532.2418212890625
4,Create a dialogue between two time travelers meeting in ancient Rome.,1.75,43.97138214111328,100.0,4.806477069854736,-963.7972412109375,-589.7894287109375
4,Create a dialogue between two time travelers meeting in ancient Rome.,2.0,9.432395935058594,2.1824778524476566e-27,5.266605854034424,-846.630859375,-912.6253662109375
5,Describe a futuristic city built entirely underwater.,0.5,19.774795532226562,100.0,5.764072418212891,-889.2958374023438,-770.717041015625
5,Describe a futuristic city built entirely underwater.,0.75,28.624351501464844,99.99999854479249,5.732926845550537,-900.1624755859375,-882.116943359375
5,Describe a futuristic city built entirely underwater.,1.0,47.87580108642578,0.06253416289147609,6.098790168762207,-936.364013671875,-943.7406005859375
5,Describe a futuristic city built entirely underwater.,1.25,67.05271911621094,100.0,5.056178569793701,-958.4994506835938,-447.1498718261719
