Prompt ID,Prompt,Repetition Penalty,Biased Perplexity,RAP,Baseline Perplexity,Baseline Author Score,Biased Author Score
1,Write a short story about a robot discovering a flower.,1.0,15.422256469726562,100.0,5.406048774719238,-1135.92431640625,-478.3771057128906
1,Write a short story about a robot discovering a flower.,1.2,13.645733833312988,100.0,3.698044776916504,-947.1544799804688,-572.7415771484375
1,Write a short story about a robot discovering a flower.,1.4,61.30269241333008,100.0,4.117411136627197,-968.856201171875,-664.952880859375
1,Write a short story about a robot discovering a flower.,1.6,36.471553802490234,100.0,3.060783863067627,-1029.5596923828125,-859.658935546875
1,Write a short story about a robot discovering a flower.,1.8,43.075965881347656,100.0,4.687054634094238,-1076.923583984375,-833.0283203125
1,Write a short story about a robot discovering a flower.,2.0,79.18301391601562,100.0,3.5611119270324707,-1052.3277587890625,-640.0540771484375
2,Describe a sunset from the perspective of a mountain.,1.0,9.442246437072754,100.0,3.6742403507232666,-888.5517578125,-792.5374755859375
2,Describe a sunset from the perspective of a mountain.,1.2,30.58380126953125,100.0,5.626847267150879,-802.239501953125,-629.8880004882812
2,Describe a sunset from the perspective of a mountain.,1.4,34.304420471191406,100.0,3.998375177383423,-547.6915283203125,-487.490966796875
2,Describe a sunset from the perspective of a mountain.,1.6,70.26725769042969,100.0,5.710723876953125,-806.5518188476562,-668.9752197265625
2,Describe a sunset from the perspective of a mountain.,1.8,55.600982666015625,100.0,4.496766567230225,-1056.5614013671875,-550.509765625
2,Describe a sunset from the perspective of a mountain.,2.0,47.042057037353516,100.0,4.827111721038818,-1018.3031616210938,-605.8158569335938
3,Write a poem about the sound of rain.,1.0,2.910893440246582,100.0,7.217146396636963,-955.7735595703125,-899.1774291992188
3,Write a poem about the sound of rain.,1.2,35.991024017333984,100.0,3.591470956802368,-1073.525146484375,-1028.628662109375
3,Write a poem about the sound of rain.,1.4,135.66287231445312,100.0,5.2002739906311035,-842.2376708984375,-312.62823486328125
3,Write a poem about the sound of rain.,1.6,52.28791046142578,100.0,6.213044166564941,-1003.978271484375,-395.80963134765625
3,Write a poem about the sound of rain.,1.8,38.60594177246094,100.0,6.35037088394165,-1098.60693359375,-324.8658752441406
3,Write a poem about the sound of rain.,2.0,189.4330596923828,100.0,3.7136192321777344,-906.9520263671875,-365.7947082519531
4,Create a dialogue between two time travelers meeting in ancient Rome.,1.0,12.187825202941895,100.0,5.262730598449707,-846.0441284179688,-712.9283447265625
4,Create a dialogue between two time travelers meeting in ancient Rome.,1.2,17.1309871673584,100.0,5.812814712524414,-990.713134765625,-573.6517333984375
4,Create a dialogue between two time travelers meeting in ancient Rome.,1.4,46.78596115112305,97.87393358200663,6.0083770751953125,-931.8521118164062,-928.022705078125
4,Create a dialogue between two time travelers meeting in ancient Rome.,1.6,53.88651657104492,100.0,3.4730072021484375,-1056.984130859375,-885.666259765625
4,Create a dialogue between two time travelers meeting in ancient Rome.,1.8,57.083255767822266,100.0,4.139313220977783,-1033.6949462890625,-771.603271484375
4,Create a dialogue between two time travelers meeting in ancient Rome.,2.0,58.726173400878906,100.0,4.857915878295898,-1122.71533203125,-807.59423828125
5,Describe a futuristic city built entirely underwater.,1.0,9.163439750671387,99.95841329572012,6.074461460113525,-1021.1923828125,-1013.4076538085938
5,Describe a futuristic city built entirely underwater.,1.2,29.275951385498047,100.0,5.404637813568115,-1107.3138427734375,-568.609130859375
5,Describe a futuristic city built entirely underwater.,1.4,35.11745071411133,100.0,5.375586032867432,-1039.93505859375,-864.597412109375
5,Describe a futuristic city built entirely underwater.,1.6,81.7138900756836,99.99999999999973,6.608072280883789,-816.4362182617188,-782.8729248046875
5,Describe a futuristic city built entirely underwater.,1.8,31.236921310424805,100.0,5.649856090545654,-956.7662963867188,-506.5825500488281
5,Describe a futuristic city built entirely underwater.,2.0,50.42281723022461,100.0,5.230506896972656,-1086.78271484375,-1033.70458984375
